Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,492,6059.2,0.0,0.0,488.73,0.0,0.0,0.00,6059.20,0.0
Credit/debit,,5198,77952.44,7686.44,0.0,6180.06,0.0,0.0,7686.44,85638.88,10.6
Credit/debit,AMEX,377,5965.84,607.58,0.0,456.68,0.0,0.0,607.58,6573.42,10.9
Credit/debit,DISCOVER,152,2096.96,194.26,0.0,168.98,0.0,0.0,194.26,2291.22,9.9
Credit/debit,MASTERCARD,866,13761.63,1416.96,0.0,1080.96,0.0,0.0,1416.96,15178.59,11.0
Credit/debit,VISA,3803,56128.01,5467.64,0.0,4473.44,0.0,0.0,5467.64,61595.65,10.5
Gift Card,,10,124.89,0.0,0.0,10.07,0.0,0.0,0.00,124.89,0.0
Other,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Total,,5700,84136.53,7686.44,0.0,6678.86,0.0,0.0,7686.44,91822.97,9.8
